scorer,,,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu,Yuu
individuals,,,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse3,mouse3,mouse3,mouse3,mouse3,mouse3,mouse3,mouse3,mouse3,mouse3,mouse3,mouse3
bodyparts,,,nose,nose,left_ear,left_ear,right_ear,right_ear,body_center,body_center,tail_base,tail_base,tail_tip,tail_tip,nose,nose,left_ear,left_ear,right_ear,right_ear,body_center,body_center,tail_base,tail_base,tail_tip,tail_tip,nose,nose,left_ear,left_ear,right_ear,right_ear,body_center,body_center,tail_base,tail_base,tail_tip,tail_tip
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,8WK_F_WT_00,8WK_F_WT_00_round3_candidate280_02_frame_002407.png,,,117.26119480719896,471.3763346186023,156.0218234835915,454.59560665196346,178.0382712711495,527.1636047610848,234.3388775610208,594.3404645387719,451.8639473173418,590.5017868371888,,,240.096894113394,460.62652460032757,196.59188016212983,446.55137302785994,272.7256545768422,479.8199131082381,,,,,1053.709342898899,397.28818923934045,1080.5253078057694,375.99315828388455,1004.8096421863706,398.86559893974464,1073.4269641539506,498.24241006520543,,,928.3052717167699,520.3261458708635
labeled-data,8WK_F_WT_00,8WK_F_WT_00_round3_candidate280_03_frame_018305.png,397.39638270050875,482.4665795435591,341.0957764106374,456.2356152494147,311.0261344149107,485.6654776282112,265.6017816128554,515.7351196239381,197.7851422182377,547.0843208535259,,,411.47153427297656,470.3107668218822,414.67043235762833,397.3758904918217,359.00960568468736,419.12839746745396,,,,,,,442.820735502564,580.9926405508336,456.2561074581015,477.9881222250463,410.8317546560462,485.0256980112804,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_round3_candidate280_04_frame_023263.png,409.4722705610975,620.7600552635564,432.50433677059027,556.1423139535905,450.4181660446402,513.2770796192567,545.1055493503329,568.9379062921976,,,,,,,,,,,,,466.4126564678991,511.3577407684654,355.73078273894754,606.0451240741581,539.3475327979597,483.8472172404601,521.4337035239097,384.0415969993246,493.9231799959044,385.9609358501157,566.2182767090346,284.87575637511947,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_round3_candidate_01_frame_001641.png,80.05076623056753,566.9640356413265,131.58247095811421,502.79247881079664,,,239.50736199127806,539.739738804132,335.7646972370728,580.5761840599238,567.171220353226,541.6843314353601,375.62884617725047,513.4877382825516,372.7119572304082,451.26077408324994,,,,,510.7780340476088,486.26344144535716,649.8164071804234,537.7951461729039,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_round3_candidate_02_frame_007301.png,438.80455302066724,418.7029171314436,397.00319595995757,361.91616791689455,374.9194601542996,409.23845892901875,365.45500195187475,459.7155693419512,337.8503321948023,510.1926797548837,214.0236707130774,551.2053319653913,,,552.3780514497653,304.3407138521435,589.4471794092625,321.692220556589,522.4072671420865,361.1274630666925,467.19792762794174,409.23845892901875,377.2855747049058,574.0777726212514,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_round3_candidate_03_frame_016056.png,589.9608316265399,619.4542663320022,587.5947170759337,529.5419134089664,511.87905145653485,527.9645037085622,574.1867346224984,437.2634459353241,,,,,817.8043088947556,557.4874951141021,863.8684413137412,474.3161449131559,,,953.1516888794283,525.3829683690976,991.7982265393298,598.7325194378901,763.0738199807295,631.0694182961751,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_round3_candidate_04_frame_018032.png,,,530.6716541657595,420.3256022572181,588.2518196894915,404.33111183395926,599.1280731773076,489.4218008856966,608.0849878143325,575.7920491712946,438.5434088523127,642.968908948982,,,,,,,,,718.1638497268947,498.19880859448574,803.7259255009344,605.1514033120354,,,,,1156.839940199089,234.2464507749662,1176.7066615966519,386.7527532680245,1114.1849207278503,489.0079369319525,984.5765409378721,504.9462602966066
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_00_frame_000670.png,,,,,,,,,308.4445060374247,542.9160897950048,552.5991332194844,558.6202171754268,,,,,,,,,397.6608943657999,463.09781769417725,553.2581777582236,519.0867965418192,,,,,,,921.7437727982394,471.5612679850999,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_01_frame_001290.png,,,255.65798970509405,464.4994178814526,,,313.53518146962455,469.27279452182626,374.9924057144353,493.1396777236945,,,610.0812052528374,343.3749856319714,575.4742246101284,318.91143035005643,528.9338023664855,335.6182485913642,495.5201658838699,367.8385409138863,453.75312028060046,375.59527795449344,330.2419997109323,441.8258788396778,,,994.829658416372,435.24641097879635,940.2297777072033,423.47919530871684,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_02_frame_002370.png,,,,,,,,,164.29022154916518,599.5710195360487,365.40641969163926,606.462851871149,203.76162492292178,518.7486221516899,239.47384702298726,462.36090304632336,196.86979258782142,452.3364196498137,270.8003576370798,480.530279202497,311.5986098426982,513.2529193233677,,,1249.8379627966538,202.49839032632096,,,1183.9984640737243,236.43105505275372,1179.9468026138518,390.9006482103954,1090.136554886271,487.3700197839046,869.238364698745,515.9477606216604
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_03_frame_003920.png,939.5142751050072,648.10192684295,935.1964239995414,536.7013683219323,879.9279298495791,565.1991856180066,836.749418794921,529.7928065531871,,,,,980.1020754963857,616.1498286625031,1027.5984376565095,490.9321466039948,983.5563563807584,476.25145284541105,1082.0033615853786,515.9756830156964,,,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_04_frame_006970.png,412.8554192094584,478.8183580262531,,,364.72345194422223,421.62625574638435,326.2178781320334,473.1557736421077,279.2184277436263,509.3963137006384,185.2195183263942,535.4442018677073,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_06_frame_009690.png,,,576.4389946564711,188.33718903787585,533.6583942007223,218.09760674622282,568.3788815271272,286.2985639945179,582.6390816790434,351.39947773152693,520.6382114533205,508.8816881048629,,,,,,,1044.9757163383201,436.3593415677057,1106.985542006629,546.1112454054207,,,892.816635333891,564.9409031868256,952.2715697754724,497.4000976611892,896.6217511381521,478.3745186398831,985.5663330627581,469.33736860476273,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_08_frame_013680.png,647.3333286250311,375.907097850911,,,544.4698558584331,409.7608990146015,522.9857128122449,511.9733371434363,442.2574177295983,603.1181864302954,265.82703089574954,583.5871472973971,631.0574626809491,351.1677816159064,540.5636480318533,342.70433132498374,537.308474843037,364.83950900893524,,,,,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_09_frame_017280.png,,,,,,,446.23154343343776,460.9266804287739,380.15433479697947,509.211198956873,487.2370422125314,571.3882548755805,,,,,541.3315476460482,263.5038972624999,571.2440329918718,392.19714816895043,598.3739615613397,523.6729558517567,418.0326473935663,631.7115502281006,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_11_frame_018630.png,,,,,,,,,317.09219655137196,538.8802527415576,182.2637821242021,538.8802527415576,346.75444772534934,592.1374764402897,346.0803056532135,524.7232692267047,345.40616358107764,491.0161656199123,437.0894853915531,520.0042747217537,531.469375490572,560.4527990499048,756.6328224406498,560.4527990499047,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_12_frame_020250.png,626.7574573960181,414.92142677685115,553.9986082991986,395.9674408776797,528.3190145003213,447.9380473754079,561.3356350988779,524.9768287720402,514.7263361139934,581.0393716466862,392.69001674349704,538.009224354199,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_13_frame_020840.png,,,,,552.0385974103391,149.29967253387747,564.4297684299811,265.6390004405168,572.6905491097425,373.71754766739474,563.741370040001,568.5342920317671,,,,,,,,,627.0740219181715,327.5948565234889,812.365334138767,555.0011980693783,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_14_frame_021460.png,,,220.3054138235119,428.8730463084341,,,290.6646907906636,407.9149638075805,383.47905615158714,440.8490934517793,411.92216811703145,660.908959710743,,,,,508.8345072215825,266.9996525139718,,,620.4856035295517,329.7457231663842,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_15_frame_021800.png,246.64982098233133,487.65956367542816,210.1918812675877,427.7643770012064,143.78634821573326,456.4099010627907,182.84842648153,542.3464732475436,130.11462144357944,584.0126900643934,,,,,555.8912739198889,193.39190243942573,534.4071308737007,250.03191592483103,,,,,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_00,8WK_F_WT_00_selected_16_frame_023910.png,638.8469114189828,621.5673582994409,659.0631282865398,518.702490120401,572.8469092925468,532.3781662366895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_03,8WK_F_WT_03_round3_candidate280_07_frame_027722.png,631.4466400190262,216.55448192369957,,,536.0849515942718,292.08849255716837,583.2937082401899,431.8264122290857,514.3689235371495,558.345880040146,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_03,8WK_F_WT_03_round3_candidate280_08_frame_029929.png,624.9469430718743,217.96941918191146,,,554.1338081029972,285.00585361911504,599.4542144830785,418.1345473606038,521.0876784508547,544.654015171664,281.2671946895912,641.9040538622551,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_03,8WK_F_WT_03_selected_01_frame_027000.png,499.6982885544763,442.24883847097334,,,409.5895614678562,357.9535776480061,363.0818313586329,506.1969673711554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,8WK_F_WT_03,8WK_F_WT_03_selected_03_frame_029840.png,635.4926441652317,315.04537855867824,,,543.0602665289841,375.29148183944665,554.6143137335151,488.74777619724534,489.4164759365192,609.6735822742169,260.48545683931854,632.630450669075,,,,,,,,,,,,,,,,,,,,,,,,
